Country,Year,Series,Value
Brazil,1995,GDP per capita (US dollars),4802.0
Brazil,2020,GDP per capita (US dollars),6797.0
Canada,1995,GDP per capita (US dollars),20777.0
Canada,2020,GDP per capita (US dollars),43560.0
China,1995,GDP per capita (US dollars),592.0
China,2020,GDP per capita (US dollars),10229.0
France,1995,GDP per capita (US dollars),26904.0
France,2020,GDP per capita (US dollars),38959.0
Germany,1995,GDP per capita (US dollars),31867.0
Germany,2020,GDP per capita (US dollars),45909.0
India,1995,GDP per capita (US dollars),386.0
India,2020,GDP per capita (US dollars),1931.0
Italy,1995,GDP per capita (US dollars),20546.0
Italy,2020,GDP per capita (US dollars),31238.0
Japan,1995,GDP per capita (US dollars),43885.0
Japan,2020,GDP per capita (US dollars),39990.0
United Kingdom,1995,GDP per capita (US dollars),23242.0
United Kingdom,2020,GDP per capita (US dollars),40718.0
United States of America,1995,GDP per capita (US dollars),28811.0
United States of America,2020,GDP per capita (US dollars),63123.0
