Country,Year,Inflation Rate
Brazil,1995,
Brazil,2005,14.598105784567373
Brazil,2010,147.72922522021366
Brazil,2015,-18.40904584220301
Brazil,2018,6.365621802540433
Brazil,2019,-1.6129402472907284
Brazil,2020,-23.397586975713345
Canada,1995,
Canada,2005,93.60863975654476
Canada,2010,37.85585573298738
Canada,2015,-3.780328170920444
Canada,2018,10.653165643722339
Canada,2019,1.1377508412189652
Canada,2020,-5.596334647719747
China,1995,
China,2005,211.23331313777683
China,2010,166.2856162963339
China,2015,81.71888234764558
China,2018,25.61423016805029
China,2019,2.7712314138720995
China,2020,3.1010928177279906
France,1995,
France,2005,37.16896408925188
France,2010,20.333541128679357
France,2015,-7.734853043014289
France,2018,14.46755157886448
France,2019,-2.22457744780733
France,2020,-3.6114582226342784
Germany,1995,
Germany,2005,10.059989503480594
Germany,2010,19.34904622079663
Germany,2015,-1.1812078481807209
Germany,2018,18.504449627499376
Germany,2019,-2.2367497056412056
Germany,2020,-1.0779186009818642
India,1995,
India,2005,121.53030127789597
India,2010,102.71924158462964
India,2015,28.577700315041742
India,2018,28.628225152427444
India,2019,4.657560936038974
India,2020,-7.79252505840069
Italy,1995,
Italy,2005,58.12374063483497
Italy,2010,14.887928686100182
Italy,2015,-13.969844677973665
Italy,2018,13.945919682945519
Italy,2019,-3.946017365765231
Italy,2020,-6.005571856847669
Japan,1995,
Japan,2005,-12.876920566254292
Japan,2010,19.1992411414587
Japan,2015,-22.818624250573706
Japan,2018,13.317664548673536
Japan,2019,2.221409551763265
Japan,2020,-1.7678549994930792
United Kingdom,1995,
United Kingdom,2005,88.99783882539045
United Kingdom,2010,-2.1112157674538667
United Kingdom,2015,18.68500387377514
United Kingdom,2018,-1.8867445901912139
United Kingdom,2019,-0.7624472083648914
United Kingdom,2020,-3.9766920464074818
United States of America,1995,
United States of America,2005,70.67572507944959
United States of America,2010,15.41331878028993
United States of America,2015,20.9785320855846
United States of America,2018,12.749275335969855
United States of America,2019,4.118558247636694
United States of America,2020,-2.2404218638627738
